customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TenureGroup,RevenueCategory,AvgChargePerMonth,TotalServices,ChargeCategory,CustomerValueScore,ContractRisk,AutoPayment,FiberOpticUser,SeniorHighChargeRisk,TenureContractRisk,HighMonthlyChargeRisk,ServiceEngagementScore,PaperlessBillingRisk,HasDependents,LongTermCustomer,RevenuePerService,ChurnScore
8091-TTVAX,Male,0,Yes,No,58,1,Yes,0,0,0,1,0,1,1,One year,No,Credit card (automatic),100.35,5681.1,No,4+ Years,High Revenue,96.28983050847458,4,High,5820.299999999999,2,1,0,0.0,0,1,3,0,0,1,20.07,3
0280-XJGEX,Male,0,No,No,49,1,Yes,0,0,1,1,0,1,1,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,4+ Years,High Revenue,100.726,5,High,5081.3,3,1,0,0.0,0,1,4,1,0,1,17.283333333333335,5
5129-JLPIS,Male,0,No,No,25,1,No,0,1,0,1,1,1,1,Month-to-month,Yes,Electronic check,105.5,2686.05,No,2-4 Years,High Revenue,103.3096153846154,6,High,2637.5,3,0,0,0.0,0,1,5,1,0,1,15.071428571428571,5
3655-SNQYZ,Female,0,Yes,Yes,69,1,Yes,0,1,1,1,1,1,1,Two year,No,Credit card (automatic),113.25,7895.15,No,4+ Years,High Revenue,112.78785714285712,7,High,7814.25,1,1,0,0.0,0,1,6,0,1,1,14.15625,2
8191-XWSZG,Female,0,No,No,52,1,No,0,0,0,0,0,0,0,One year,No,Mailed check,20.65,1022.95,No,4+ Years,Normal Revenue,19.300943396226412,1,Low,1073.8,2,0,0,0.0,0,0,0,0,0,1,10.325,2
9959-WOFKT,Male,0,No,Yes,71,1,Yes,0,1,0,1,0,1,1,Two year,No,Bank transfer (automatic),106.7,7382.25,No,4+ Years,High Revenue,102.53125,5,High,7575.7,1,1,0,0.0,0,1,4,0,1,1,17.783333333333335,2
4190-MFLUW,Female,0,Yes,Yes,10,1,No,0,0,0,1,1,0,0,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,0-1 Year,Normal Revenue,48.03181818181818,3,Medium,552.0,3,1,0,0.0,1,0,2,0,1,0,13.8,4
4183-MYFRB,Female,0,No,No,21,1,No,0,0,1,1,0,0,1,Month-to-month,Yes,Electronic check,90.05,1862.9,No,1-2 Years,High Revenue,84.67727272727274,4,High,1891.05,3,0,0,0.0,0,1,3,1,0,0,18.009999999999998,5
8779-QRDMV,Male,1,No,No,1,0,No phone service,0,0,0,1,0,0,1,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,0-1 Year,Normal Revenue,19.825,2,Medium,39.65,3,0,0,39.65,1,0,2,1,0,0,13.216666666666667,5
1680-VDCWW,Male,0,Yes,No,12,1,No,0,0,0,0,0,0,0,One year,No,Bank transfer (automatic),19.8,202.25,No,0-1 Year,Normal Revenue,15.557692307692308,1,Low,237.6,2,1,0,0.0,0,0,0,0,0,0,9.9,2
1066-JKSGK,Male,0,No,No,1,1,No,0,0,0,0,0,0,0,Month-to-month,No,Mailed check,20.15,20.15,Yes,0-1 Year,Normal Revenue,10.075,1,Low,20.15,3,0,0,0.0,1,0,0,0,0,0,10.075,4
3638-WEABW,Female,0,Yes,No,58,1,Yes,0,0,1,0,1,0,0,Two year,Yes,Credit card (automatic),59.9,3505.1,No,4+ Years,Normal Revenue,59.40847457627118,3,Medium,3474.2,1,1,0,0.0,0,0,2,1,0,1,14.975,2
6322-HRPFA,Male,0,Yes,Yes,49,1,No,0,1,1,0,1,0,0,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,4+ Years,Normal Revenue,59.406000000000006,4,Medium,2920.4,3,1,0,0.0,0,0,3,0,1,1,11.92,3
6865-JZNKO,Female,0,No,No,30,1,No,0,1,1,0,0,0,0,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,2-4 Years,Normal Revenue,49.37419354838709,3,Medium,1659.0,3,1,0,0.0,0,0,2,1,0,1,13.825,4
6467-CHFZW,Male,0,Yes,Yes,47,1,Yes,0,0,1,0,0,1,1,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,2-4 Years,High Revenue,98.940625,4,High,4669.45,3,0,0,0.0,0,1,3,1,1,1,19.869999999999997,5
8665-UTDHZ,Male,0,Yes,Yes,1,0,No phone service,0,0,1,0,0,0,0,Month-to-month,No,Electronic check,30.2,30.2,Yes,0-1 Year,Normal Revenue,15.1,1,Low,30.2,3,0,0,0.0,1,0,1,0,1,0,15.1,4
5248-YGIJN,Male,0,Yes,No,72,1,Yes,0,1,1,1,1,1,1,Two year,Yes,Credit card (automatic),90.25,6369.45,No,4+ Years,High Revenue,87.2527397260274,7,High,6498.0,1,1,0,0.0,0,1,6,1,0,1,11.28125,3
8773-HHUOZ,Female,0,No,Yes,17,1,No,0,0,0,0,0,1,1,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,1-2 Years,Normal Revenue,60.727777777777774,3,Medium,1099.9,3,0,0,0.0,0,0,2,1,1,0,16.175,4
3841-NFECX,Female,1,Yes,No,71,1,Yes,0,1,1,1,1,0,0,Two year,Yes,Credit card (automatic),96.35,6766.95,No,4+ Years,High Revenue,93.98541666666668,5,High,6840.849999999999,1,1,0,96.35,0,1,4,1,0,1,16.058333333333334,3
4929-XIHVW,Male,1,Yes,No,2,1,No,0,0,0,1,0,1,1,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,0-1 Year,High Revenue,60.55,4,High,191.0,3,1,0,95.5,1,1,3,1,0,0,19.1,6
6827-IEAUQ,Female,0,Yes,Yes,27,1,No,0,1,1,1,1,0,0,One year,No,Mailed check,66.15,1874.45,No,2-4 Years,Normal Revenue,66.94464285714285,5,Medium,1786.0500000000002,2,0,0,0.0,0,1,4,0,1,1,11.025,3
7310-EGVHZ,Male,0,No,No,1,1,No,0,0,0,0,0,0,0,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,0-1 Year,Normal Revenue,10.1,1,Low,20.2,3,1,0,0.0,1,0,0,0,0,0,10.1,4
3413-BMNZE,Male,1,No,No,1,1,No,0,0,0,0,0,0,0,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,0-1 Year,Normal Revenue,22.625,1,Medium,45.25,3,1,0,45.25,1,0,0,0,0,0,22.625,4
6234-RAAPL,Female,0,Yes,Yes,72,1,Yes,0,1,1,0,1,1,0,Two year,No,Bank transfer (automatic),99.9,7251.7,No,4+ Years,High Revenue,99.33835616438355,5,High,7192.8,1,1,0,0.0,0,1,4,0,1,1,16.650000000000002,2
6047-YHPVI,Male,0,No,No,5,1,No,0,0,0,0,0,0,0,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,0-1 Year,Normal Revenue,52.81666666666666,1,Medium,348.5,3,0,0,0.0,1,1,0,1,0,0,34.85,6
6572-ADKRS,Female,0,No,No,46,1,No,0,0,0,1,0,0,0,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,2-4 Years,Normal Revenue,75.49574468085106,2,High,3440.8,3,1,0,0.0,0,1,1,1,0,1,24.933333333333334,5
5380-WJKOV,Male,0,No,No,34,1,Yes,0,0,1,1,0,1,1,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,2-4 Years,High Revenue,101.40714285714286,5,High,3615.9,3,0,0,0.0,0,1,4,1,0,1,17.724999999999998,5
8168-UQWWF,Female,0,No,No,11,1,Yes,0,0,0,1,0,1,1,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,0-1 Year,High Revenue,92.11666666666667,4,High,1076.35,3,1,0,0.0,1,1,3,1,0,0,19.57,6
8865-TNMNX,Male,0,Yes,Yes,10,1,No,0,0,1,0,0,0,0,One year,No,Mailed check,49.55,475.7,No,0-1 Year,Normal Revenue,43.24545454545454,2,Medium,495.5,2,0,0,0.0,0,0,1,0,1,0,16.516666666666666,2
9489-DEDVP,Female,0,Yes,Yes,70,1,Yes,0,1,1,0,0,1,0,Two year,Yes,Credit card (automatic),69.2,4872.35,No,4+ Years,Normal Revenue,68.62464788732395,4,Medium,4844.0,1,1,0,0.0,0,1,3,1,1,1,13.84,3
9867-JCZSP,Female,0,Yes,Yes,17,1,No,0,0,0,0,0,0,0,One year,No,Mailed check,20.75,418.25,No,1-2 Years,Normal Revenue,23.23611111111111,1,Low,352.75,2,0,0,0.0,0,0,0,0,1,0,10.375,2
4671-VJLCL,Female,0,No,No,63,1,Yes,0,1,1,1,1,1,0,Two year,Yes,Credit card (automatic),79.85,4861.45,No,4+ Years,Normal Revenue,75.96015625,6,High,5030.549999999999,1,1,0,0.0,0,1,5,1,0,1,11.407142857142857,3
4080-IIARD,Female,0,Yes,No,13,1,Yes,0,1,1,0,1,1,0,Month-to-month,Yes,Electronic check,76.2,981.45,No,1-2 Years,Normal Revenue,70.10357142857143,5,High,990.6,3,0,0,0.0,0,1,4,1,0,0,12.700000000000001,5
3714-NTNFO,Female,0,No,No,49,1,Yes,0,0,0,0,0,0,1,Month-to-month,Yes,Electronic check,84.5,3906.7,No,4+ Years,High Revenue,78.134,2,High,4140.5,3,0,0,0.0,0,1,1,1,0,1,28.166666666666668,5
5948-UJZLF,Male,0,No,No,2,1,No,0,0,1,0,0,0,0,Month-to-month,No,Mailed check,49.25,97.0,No,0-1 Year,Normal Revenue,32.333333333333336,2,Medium,98.5,3,0,0,0.0,1,0,1,0,0,0,16.416666666666668,4
7760-OYPDY,Female,0,No,No,2,1,No,0,0,0,0,0,1,0,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,0-1 Year,High Revenue,48.05,2,High,161.3,3,0,0,0.0,1,1,1,1,0,0,26.883333333333336,6
7639-LIAYI,Male,0,No,No,52,1,Yes,0,1,0,0,1,1,1,Two year,Yes,Credit card (automatic),79.75,4217.8,No,4+ Years,Normal Revenue,79.5811320754717,5,High,4147.0,1,1,0,0.0,0,1,4,1,0,1,13.291666666666666,3
2954-PIBKO,Female,0,Yes,Yes,69,1,Yes,0,1,0,1,1,0,0,Two year,Yes,Credit card (automatic),64.15,4254.1,No,4+ Years,Normal Revenue,60.77285714285715,4,Medium,4426.35,1,1,0,0.0,0,0,3,1,1,1,12.830000000000002,2
8012-SOUDQ,Female,1,No,No,43,1,Yes,0,0,1,0,0,1,0,Month-to-month,Yes,Electronic check,90.25,3838.75,No,2-4 Years,High Revenue,87.24431818181819,3,High,3880.75,3,0,0,90.25,0,1,2,1,0,1,22.5625,5
9420-LOJKX,Female,0,No,No,15,1,No,0,1,1,0,0,1,1,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,1-2 Years,High Revenue,89.15,5,High,1486.5,3,1,0,0.0,0,1,4,1,0,0,16.516666666666666,5
6575-SUVOI,Female,1,Yes,No,25,1,Yes,0,1,0,0,1,1,0,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,2-4 Years,Normal Revenue,67.40961538461539,4,Medium,1737.5,3,1,0,69.5,0,1,3,1,0,1,13.9,5
7495-OOKFY,Female,1,Yes,No,8,1,Yes,0,0,1,0,0,0,0,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,0-1 Year,High Revenue,70.36666666666666,2,High,645.2,3,1,0,80.65,1,1,1,1,0,0,26.883333333333336,6
4667-QONEA,Female,1,Yes,Yes,60,1,No,0,1,1,1,1,0,1,One year,Yes,Credit card (automatic),74.85,4456.35,No,4+ Years,Normal Revenue,73.05491803278689,6,High,4491.0,2,1,0,74.85,0,1,5,1,1,1,10.692857142857141,4
1658-BYGOY,Male,1,No,No,18,1,Yes,0,0,0,0,0,1,1,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,1-2 Years,High Revenue,92.23947368421052,3,High,1718.1,3,0,0,95.45,0,1,2,1,0,0,23.8625,5
8769-KKTPH,Female,0,Yes,Yes,63,1,Yes,0,1,0,0,0,1,1,One year,Yes,Credit card (automatic),99.65,6311.2,No,4+ Years,High Revenue,98.6125,4,High,6277.950000000001,2,1,0,0.0,0,1,3,1,1,1,19.93,4
5067-XJQFU,Male,1,Yes,Yes,66,1,Yes,0,0,1,1,1,1,1,One year,Yes,Electronic check,108.45,7076.35,No,4+ Years,High Revenue,105.61716417910448,6,High,7157.7,2,0,0,108.45,0,1,5,1,1,1,15.492857142857144,4
3957-SQXML,Female,0,Yes,Yes,34,1,Yes,0,0,0,0,0,0,0,Two year,No,Credit card (automatic),24.95,894.3,No,2-4 Years,Normal Revenue,25.55142857142857,1,Low,848.3,1,1,0,0.0,0,0,0,0,1,1,12.475,1
5954-BDFSG,Female,0,No,No,72,1,Yes,0,0,0,1,1,1,1,Two year,Yes,Credit card (automatic),107.5,7853.7,No,4+ Years,High Revenue,107.58493150684932,5,High,7740.0,1,1,0,0.0,0,1,4,1,0,1,17.916666666666668,3
0434-CSFON,Female,0,Yes,No,47,1,Yes,0,0,0,1,0,1,1,Month-to-month,Yes,Electronic check,100.5,4707.1,No,2-4 Years,High Revenue,98.06458333333336,4,High,4723.5,3,0,0,0.0,0,1,3,1,0,1,20.1,5
1215-FIGMP,Male,0,No,No,60,1,Yes,0,0,1,0,0,1,0,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,4+ Years,High Revenue,89.35573770491803,3,High,5394.0,3,1,0,0.0,0,1,2,1,0,1,22.475,5
0526-SXDJP,Male,0,Yes,No,72,0,No phone service,0,1,1,1,0,0,0,Two year,No,Bank transfer (automatic),42.1,2962.0,No,4+ Years,Normal Revenue,40.57534246575342,3,Medium,3031.2000000000003,1,1,0,0.0,0,0,3,0,0,1,10.525,1
0557-ASKVU,Female,0,Yes,Yes,18,1,No,0,0,0,1,1,0,0,One year,Yes,Credit card (automatic),54.4,957.1,No,1-2 Years,Normal Revenue,50.37368421052632,3,Medium,979.2,2,1,0,0.0,0,0,2,1,1,0,13.6,3
5698-BQJOH,Female,0,No,No,9,1,Yes,0,0,0,0,0,1,1,Month-to-month,No,Electronic check,94.4,857.25,Yes,0-1 Year,High Revenue,85.725,3,High,849.6,3,0,0,0.0,1,1,2,0,0,0,23.6,5
5122-CYFXA,Female,0,No,No,3,1,No,0,0,1,0,1,1,1,Month-to-month,Yes,Electronic check,75.3,244.1,No,0-1 Year,Normal Revenue,61.025,5,High,225.9,3,0,0,0.0,1,1,4,1,0,0,12.549999999999999,6
8627-ZYGSZ,Male,0,Yes,No,47,1,Yes,0,0,1,0,0,0,0,One year,Yes,Electronic check,78.9,3650.35,No,2-4 Years,Normal Revenue,76.04895833333333,2,High,3708.3,2,0,0,0.0,0,1,1,1,0,1,26.3,4
3410-YOQBQ,Female,0,No,No,31,1,No,0,0,1,1,1,1,1,Two year,No,Mailed check,79.2,2497.2,No,2-4 Years,Normal Revenue,78.0375,6,High,2455.2000000000003,1,0,0,0.0,0,1,5,0,0,1,11.314285714285715,2
3170-NMYVV,Female,0,Yes,Yes,50,1,No,0,0,0,0,0,0,0,Two year,No,Bank transfer (automatic),20.15,930.9,No,4+ Years,Normal Revenue,18.25294117647059,1,Low,1007.5,1,1,0,0.0,0,0,0,0,1,1,10.075,1
7410-OIEDU,Male,0,No,No,10,1,No,0,1,0,1,0,0,0,Month-to-month,Yes,Mailed check,79.85,887.35,No,0-1 Year,Normal Revenue,80.66818181818182,3,High,798.5,3,0,0,0.0,1,1,2,1,0,0,19.9625,6
2273-QCKXA,Male,0,No,No,1,1,No,0,0,0,0,1,0,0,Month-to-month,No,Mailed check,49.05,49.05,No,0-1 Year,Normal Revenue,24.525,2,Medium,49.05,3,0,0,0.0,1,0,1,0,0,0,16.349999999999998,4
0731-EBJQB,Female,0,Yes,Yes,52,1,No,0,0,0,0,0,0,0,One year,Yes,Electronic check,20.4,1090.65,No,4+ Years,Normal Revenue,20.578301886792456,1,Low,1060.8,2,0,0,0.0,0,0,0,1,1,1,10.2,3
1891-QRQSA,Male,1,Yes,Yes,64,1,Yes,0,1,0,1,1,1,1,Two year,Yes,Bank transfer (automatic),111.6,7099.0,No,4+ Years,High Revenue,109.21538461538462,6,High,7142.4,1,1,0,111.6,0,1,5,1,1,1,15.942857142857141,3
8028-PNXHQ,Male,0,Yes,Yes,62,1,Yes,0,0,0,0,0,0,0,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,4+ Years,Normal Revenue,22.61269841269841,1,Low,1503.5,1,1,0,0.0,0,0,0,1,1,1,12.125,2
5630-AHZIL,Female,0,No,Yes,3,1,No,0,1,0,0,1,0,1,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,0-1 Year,Normal Revenue,44.35,4,Medium,193.5,3,1,0,0.0,1,0,3,1,1,0,12.9,5
2673-CXQEU,Female,1,No,No,56,1,Yes,0,1,1,1,0,1,1,One year,No,Electronic check,110.5,6139.5,No,4+ Years,High Revenue,107.71052631578948,6,High,6188.0,2,0,0,110.5,0,1,5,0,0,1,15.785714285714286,3
6416-JNVRK,Female,0,No,No,46,1,No,0,0,0,0,0,0,1,One year,No,Credit card (automatic),55.65,2688.85,No,2-4 Years,Normal Revenue,57.2095744680851,2,Medium,2559.9,2,1,0,0.0,0,0,1,0,0,1,18.55,2
5590-ZSKRV,Female,0,Yes,Yes,8,1,No,0,1,1,0,0,0,0,Month-to-month,No,Mailed check,54.65,482.25,No,0-1 Year,Normal Revenue,53.583333333333336,3,Medium,437.2,3,0,0,0.0,1,0,2,0,1,0,13.6625,4
0191-ZHSKZ,Male,1,No,No,30,1,No,0,1,1,0,0,1,1,Month-to-month,Yes,Electronic check,74.75,2111.3,No,2-4 Years,Normal Revenue,68.10645161290323,5,High,2242.5,3,0,0,74.75,0,1,4,1,0,1,12.458333333333334,5
3887-PBQAO,Female,0,Yes,Yes,45,1,Yes,0,0,0,0,0,0,0,One year,Yes,Credit card (automatic),25.9,1216.6,No,2-4 Years,Normal Revenue,26.44782608695652,1,Low,1165.5,2,1,0,0.0,0,0,0,1,1,1,12.95,3
5919-TMRGD,Female,0,No,Yes,1,1,No,0,0,0,0,0,1,0,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,0-1 Year,Normal Revenue,39.675,2,High,79.35,3,0,0,0.0,1,1,1,1,1,0,26.45,6
8108-UXRQN,Female,0,Yes,Yes,11,0,No phone service,0,1,0,0,0,1,1,Month-to-month,No,Electronic check,50.55,565.35,No,0-1 Year,Normal Revenue,47.1125,3,Medium,556.05,3,0,0,0.0,1,0,3,0,1,0,12.6375,4
9191-MYQKX,Female,0,Yes,No,7,1,No,0,0,0,1,0,0,0,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,0-1 Year,Normal Revenue,62.1125,2,High,526.0500000000001,3,1,0,0.0,1,1,1,1,0,0,25.05,6
9919-YLNNG,Female,0,No,No,42,1,No,0,0,1,1,1,1,1,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,2-4 Years,High Revenue,100.63953488372093,6,High,4359.599999999999,3,1,0,0.0,0,1,5,1,0,1,14.828571428571427,5
0318-ZOPWS,Female,0,Yes,No,49,1,No,0,0,0,0,0,0,0,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,4+ Years,Normal Revenue,19.467,1,Low,987.35,1,1,0,0.0,0,0,0,1,0,1,10.075,2
4445-ZJNMU,Male,0,No,No,9,1,Yes,0,0,1,0,0,1,1,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,0-1 Year,High Revenue,91.875,4,High,893.6999999999999,3,1,0,0.0,1,1,3,1,0,0,19.86,6
4808-YNLEU,Female,0,Yes,No,35,1,No,0,1,0,0,0,1,0,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,2-4 Years,Normal Revenue,61.540277777777774,3,Medium,2175.25,2,1,0,0.0,0,0,2,1,0,1,15.5375,3
1862-QRWPE,Female,0,Yes,Yes,48,1,No,0,0,0,0,0,0,0,Two year,No,Bank transfer (automatic),20.65,1057.0,No,2-4 Years,Normal Revenue,21.571428571428573,1,Low,991.2,1,1,0,0.0,0,0,0,0,1,1,10.325,1
2796-NNUFI,Female,0,Yes,Yes,46,1,No,0,0,0,0,0,0,0,Two year,Yes,Mailed check,19.95,927.1,No,2-4 Years,Normal Revenue,19.72553191489362,1,Low,917.7,1,0,0,0.0,0,0,0,1,1,1,9.975,2
3016-KSVCP,Male,0,Yes,No,29,0,No phone service,0,0,0,0,0,1,0,Month-to-month,No,Mailed check,33.75,1009.25,No,2-4 Years,Normal Revenue,33.641666666666666,1,Low,978.75,3,0,0,0.0,0,0,1,0,0,1,16.875,3
4767-HZZHQ,Male,0,Yes,Yes,30,1,No,0,0,1,1,0,0,0,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,2-4 Years,High Revenue,82.90967741935484,3,High,2461.5,3,1,0,0.0,0,1,2,0,1,1,20.5125,4
2424-WVHPL,Male,1,No,No,1,1,No,0,0,0,0,1,0,0,Month-to-month,No,Electronic check,74.7,74.7,No,0-1 Year,Normal Revenue,37.35,2,High,74.7,3,0,0,74.7,1,1,1,0,0,0,24.900000000000002,5
7233-PAHHL,Male,0,Yes,Yes,66,1,Yes,0,1,0,1,1,1,1,Two year,Yes,Mailed check,84.0,5714.25,No,4+ Years,High Revenue,85.28731343283582,6,High,5544.0,1,0,0,0.0,0,1,5,1,1,1,12.0,3
6067-NGCEU,Female,0,No,No,65,1,Yes,0,1,1,1,0,1,1,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,No,4+ Years,High Revenue,107.6818181818182,6,High,7218.25,3,1,0,0.0,0,1,5,1,0,1,15.864285714285714,5
9848-JQJTX,Male,0,No,No,72,1,Yes,0,0,1,1,0,1,1,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,4+ Years,High Revenue,102.17876712328768,5,High,7264.8,1,1,0,0.0,0,1,4,1,0,1,16.816666666666666,3
8637-XJIVR,Female,0,No,No,12,1,Yes,0,1,0,0,0,0,0,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,0-1 Year,Normal Revenue,71.33461538461539,2,High,947.4,3,0,0,0.0,0,1,1,1,0,0,26.316666666666666,5
9803-FTJCG,Male,0,Yes,Yes,71,1,Yes,0,1,1,0,1,0,0,One year,Yes,Credit card (automatic),66.85,4748.7,No,4+ Years,Normal Revenue,65.95416666666667,4,Medium,4746.349999999999,2,1,0,0.0,0,1,3,1,1,1,13.37,4
0278-YXOOG,Male,0,No,No,5,1,No,0,0,0,0,0,0,0,Month-to-month,No,Mailed check,21.05,113.85,Yes,0-1 Year,Normal Revenue,18.975,1,Low,105.25,3,0,0,0.0,1,0,0,0,0,0,10.525,4
3212-KXOCR,Male,0,No,No,52,1,No,0,0,0,0,0,0,0,Two year,No,Bank transfer (automatic),21.0,1107.2,No,4+ Years,Normal Revenue,20.89056603773585,1,Low,1092.0,1,1,0,0.0,0,0,0,0,0,1,10.5,1
4598-XLKNJ,Female,1,Yes,No,25,1,No,0,0,1,1,0,1,1,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,2-4 Years,High Revenue,96.71153846153848,5,High,2462.5,3,0,0,98.5,0,1,4,1,0,1,16.416666666666668,5
6380-ARCEH,Male,0,No,No,1,1,No,0,0,0,0,0,0,0,Month-to-month,No,Mailed check,20.2,20.2,No,0-1 Year,Normal Revenue,10.1,1,Low,20.2,3,0,0,0.0,1,0,0,0,0,0,10.1,4
3679-XASPY,Female,0,Yes,Yes,1,1,No,0,0,0,0,0,0,0,Month-to-month,No,Electronic check,19.45,19.45,No,0-1 Year,Normal Revenue,9.725,1,Low,19.45,3,0,0,0.0,1,0,0,0,1,0,9.725,4
7123-WQUHX,Male,0,No,No,38,1,Yes,0,0,0,1,1,1,0,One year,No,Bank transfer (automatic),95.0,3605.6,No,2-4 Years,High Revenue,92.45128205128204,4,High,3610.0,2,1,0,0.0,0,1,3,0,0,1,19.0,3
5386-THSLQ,Female,1,Yes,No,66,0,No phone service,0,0,1,1,0,1,0,One year,No,Bank transfer (automatic),45.55,3027.25,No,4+ Years,Normal Revenue,45.18283582089552,3,Medium,3006.3,2,1,0,45.55,0,0,3,0,0,1,11.3875,2
